property_id,property_name,category,city
16558,ITV Grands,Luxury,Delhi
16559,ITV Exotica,Luxury,Mumbai
16560,ITV City,Business,Delhi
16561,ITV Blu,Luxury,Delhi
16562,ITV Bay,Luxury,Delhi
16563,ITV Palace,Business,Delhi
17558,ITV Grands,Luxury,Mumbai
17559,ITV Exotica,Luxury,Mumbai
17560,ITV City,Business,Mumbai
17561,ITV Blu,Luxury,Mumbai
17562,ITV Bay,Luxury,Mumbai
17563,ITV Palace,Business,Mumbai
18558,ITV Grands,Luxury,Hyderabad
18559,ITV Exotica,Luxury,Hyderabad
18560,ITV City,Business,Hyderabad
18561,ITV Blu,Luxury,Hyderabad
18562,ITV Bay,Luxury,Hyderabad
18563,ITV Palace,Business,Hyderabad
19558,ITV Grands,Luxury,Bangalore
19559,ITV Exotica,Luxury,Bangalore
19560,ITV City,Business,Bangalore
19561,ITV Blu,Luxury,Bangalore
19562,ITV Bay,Luxury,Bangalore
19563,ITV Palace,Business,Bangalore
17564,ITV Seasons,Business,Mumbai
